Organisation;Total personer;Ledere;Pæd. konsulenter;Inklusions-kons.;Med email;Med LinkedIn
Aabenraa Kommune;3;2;0;1;3;1
Aalborg Kommune;11;5;4;2;7;7
Aarhus;13;9;3;1;1;8
Albertslund;3;3;0;0;0;0
Allerød;4;3;1;0;0;0
Assens;6;3;2;1;1;2
Ballerup;3;3;0;0;3;2
Billund Kommune;1;1;0;0;0;1
Brøndby;5;5;0;0;5;1
Brønderslev Kommune;4;2;0;2;2;2
Dragør;2;2;0;0;0;1
Egedal;5;4;1;0;2;2
Esbjerg Kommune;5;3;0;2;5;1
Faaborg-Midtfyn;8;2;1;5;1;4
Fanø Kommune;1;1;0;0;1;0
Favrskov;4;3;1;0;2;1
Faxe Kommune;8;3;4;1;0;0
Fredensborg;3;1;2;0;0;0
Fredericia Kommune;4;3;1;0;2;2
Frederiksberg;21;3;11;7;21;2
Frederikshavn Kommune;2;1;0;1;2;2
Frederikssund;3;3;0;0;1;2
Furesø;4;2;0;2;3;0
Gentofte;3;2;0;1;0;1
Gladsaxe;1;1;0;0;0;1
Glostrup;2;1;0;1;1;0
Greve Kommune;8;1;0;7;8;0
Gribskov;4;4;0;0;1;0
Haderslev Kommune;5;5;0;0;4;1
Halsnæs;3;3;0;0;0;1
Hedensted;4;3;1;0;3;2
Herlev;2;1;1;0;0;2
Herning Kommune;10;3;3;4;4;4
Hillerød;6;4;2;0;5;1
Hjørring Kommune;4;2;2;0;1;3
Holbæk Kommune;4;1;2;1;2;3
Holstebro Kommune;5;2;1;2;0;2
Horsens;8;3;3;2;7;3
Hvidovre;5;2;0;3;4;2
Høje-Taastrup;7;0;6;1;7;1
Hørsholm;3;1;0;2;0;1
Ikast-Brande Kommune;4;1;2;1;4;0
Ishøj;4;1;3;0;0;1
Jammerbugt Kommune;4;2;1;1;3;0
Kalundborg Kommune;3;1;1;1;1;0
Kerteminde;9;3;0;6;9;0
Kolding Kommune;8;3;5;0;4;1
Københavns Kommune;7;6;0;1;0;1
Københavns Kommune (tidl.);1;0;0;1;0;1
Køge Kommune;3;3;0;0;3;2
Lejre Kommune;2;2;0;0;0;0
Lemvig Kommune;3;1;2;0;0;2
Lyngby-Taarbæk;4;3;1;0;3;1
Læsø Kommune;2;2;0;0;1;0
Mariagerfjord Kommune;2;2;0;0;0;0
Middelfart;4;3;0;1;3;0
Morsø Kommune;3;2;1;0;2;1
Norddjurs;8;3;0;5;5;3
Nordfyn;4;4;0;0;0;1
Nyborg;5;3;0;2;3;1
Næstved Kommune;4;4;0;0;3;2
Odense;9;6;3;0;6;6
Odsherred Kommune;4;3;0;1;1;1
Randers;13;7;4;2;8;3
Rebild Kommune;4;4;0;0;3;2
Ringkøbing-Skjern Kommune;8;5;2;1;1;0
Ringsted Kommune;2;1;1;0;1;0
Roskilde Kommune;4;2;2;0;3;1
Rudersdal;9;2;5;2;7;2
Rødovre;3;2;1;0;0;1
Silkeborg Kommune;5;2;2;1;1;3
Skanderborg;6;5;0;1;3;3
Skive Kommune;5;3;0;2;1;2
Slagelse Kommune;2;2;0;0;2;2
Solrød Kommune;2;1;0;1;0;1
Sorø Kommune;4;2;2;0;0;1
Stevns Kommune;1;1;0;0;1;0
Struer Kommune;2;2;0;0;0;1
Svendborg;10;5;2;3;3;4
Syddjurs;4;2;1;1;0;2
Sønderborg Kommune;3;2;0;1;2;1
Thisted Kommune;5;2;0;3;4;3
Tårnby;11;3;0;8;0;0
Tønder Kommune;5;1;0;4;4;1
Vallensbæk;3;3;0;0;2;1
Varde Kommune;2;2;0;0;0;1
Vejen Kommune;2;1;0;1;1;0
Vejle Kommune;10;3;2;5;5;1
Vesthimmerlands Kommune;4;2;1;1;2;1
Viborg Kommune;8;3;2;3;5;4
Vordingborg Kommune;1;1;0;0;0;0
